Year,Competition,Venue,Position,Event,Notes
2017,World Championships,"London, United Kingdom",5th,"10,000 metres",31:20.24
2009,World Championships,"Berlin, Germany",36th (heats),1500 metres,4:18.10
2016,European Championships,"Amsterdam, Netherlands",4th,5000 metres,15:23.87
2013,European Team Championships 1st League,"Dublin, Ireland",1st,3000 metres,9:07.04
2005,World Cross Country Championships,"Saint-Galmier, France",58th,Junior race (6.153 km),23:21
2005,European Junior Championships,"Kaunas, Lithuania",2nd,3000 metres,9:28.45
2018,European Championships,"Berlin, Germany",6th,5000 m,15:09.65
2016,Olympic Games,"Rio de Janeiro, Brazil",8th,5000 metres,15:00.69
2007,European U23 Championships,"Debrecen, Hungary",4th,1500 metres,4:17.90
Representing the Netherlands,Representing the Netherlands,Representing the Netherlands,Representing the Netherlands,Representing the Netherlands,Representing the Netherlands
2003,European Cross Country Championships,"Edinburgh, United Kingdom",69th,Junior race (4.52 km),18:33
2010,European Championships,"Barcelona, Spain",19th (h),1500 metres,4:11.03
2004,World Cross Country Championships,"Brussels, Belgium",71st,Junior race (6 km),23:16
2007,European Cross Country Championships,"Toro, Spain",—,Under-23 race (6.7 km),DNF
2006,European Cross Country Championships,"San Giorgio su Legnano, Italy",16th,Under-23 race (5.975 km),19:45
2015,World Championships,"Beijing, China",10th,"10,000 metres",31:54.32
2002,European Cross Country Championships,"Medulin, Croatia",34th,Junior race (3.73 km),13:10
2003,European Youth Olympic Festival,"Valkenswaard, Netherlands",3rd,1500 metres,4:30.70
