Recipients and nominees,Category,Result,Award Ceremony
Bill Bennett,Best Director,Won,FCCA Awards
"Wayne Pashley, Toivo Lember and Gethin Creagh",Best Achievement in Sound,Won,Australian Film Institute Awards
Matt Day,Best Actor (Male),Nominated,FCCA Awards
Chris Haywood,Best Performance by an Actor in a Supporting Role,Nominated,Australian Film Institute Awards
Malcolm McCulloch,Best Achievement in Cinematography,Nominated,Australian Film Institute Awards
Malcolm McCulloch,Best Cinematography,Nominated,FCCA Awards
Bill Bennett,Best Achievement in Direction,Won,Australian Film Institute Awards
Frances O'Connor,Best Performance by an Actress in a Leading Role,Nominated,Australian Film Institute Awards
Wayne Pashley (sound),Best Artistic Contribution,Won,Montréal World Film Festival
Chris Haywood,Best Supporting Actor (Male),Won,FCCA Awards
Henry Dangar,Best Achievement in Editing,Won,Australian Film Institute Awards
Andrew S. Gilbert,Best Performance by an Actor in a Supporting Role,Won,Australian Film Institute Awards
Kiss or Kill,Best Film,Won,FCCA Awards
Matt Day,Best Performance by an Actor in a Leading Role,Nominated,Australian Film Institute Awards
Frances O'Connor,Best actress,Won,Montréal World Film Festival
Ruth De la Lande,Best Achievement in Costume Design,Nominated,Australian Film Institute Awards
Andrew S. Gilbert,Best Supporting Actor (Male),Nominated,FCCA Awards
Bill Bennett,Best Original Screenplay,Nominated,Australian Film Institute Awards
Bill Bennett,Best Film,Nominated,Chicago International Film Festival
Frances O'Connor,Best Actor (Female),Won,FCCA Awards
Bill Bennett,Grand Prix des Amériques,Nominated,Montréal World Film Festival
"Bill Bennett, Jennifer Cluff and Corrie Soeterboek (co-producer)",Best Film,Won,Australian Film Institute Awards
