Year,Nominee / work,Award,Result,Ref.
2017,Mask Off,Single of the Year,Nominated,-
2015,Beast Mode,Best Mixtape,Nominated,-
2016,"""I Got the Keys"" (with DJ Khaled and Jay Z)","Best Collabo, Duo or Group",Nominated,-
2016,Purple Reign,Best Mixtape,Nominated,-
2014,"""Move That Dope"" (with Pharrell, Pusha T and Casino)",People's Champ Award,Nominated,-
2014,Honest,Album of the Year,Nominated,-
2017,Future,Album of the Year,Nominated,-
2016,"""Jumpman"" (with Drake)","Best Collabo, Duo or Group",Nominated,-
2015,"""Fuck Up Some Commas""",Best Club Banger,Nominated,-
2011,"""Racks"" (with YC Worldwide)",Best Club Banger,Nominated,-
2013,"""Bugatti"" (with Ace Hood and Rick Ross)","Best Collabo, Duo or Group",Nominated,-
2015,Monster,Best Mixtape,Nominated,-
2014,"""Move That Dope"" (with Pharrell, Pusha T and Casino)","Best Collabo, Duo or Group",Nominated,-
2015,"""Fuck Up Some Commas""",People's Champ Award,Nominated,-
2015,Future,MVP of the Year,Nominated,-
2016,"""I Got the Keys"" (with DJ Khaled and Jay Z)",Best Hip Hop Video,Nominated,-
2012,"""Same Damn Time""",Best Club Banger,Nominated,-
2013,"""Bugatti"" (with Ace Hood and Rick Ross)",Best Club Banger,Nominated,-
