Notes,Competition,Event,Position
50.37 s,World Youth Championships,400 m hurdles (84.0 cm),3rd
49.56 s,World Junior Championships,400 m hurdles,3rd
51.29 s A,Pan American Games,400 m hurdles,5th (h)
Representing Cuba,Representing Cuba,Representing Cuba,Representing Cuba
52.21 A,Pan American Sports Festival,400m hurdles,6th
3:04.33 min1 A,Pan American Games,4 × 400 m relay,1st1
50.02 A,Central American and Caribbean Championships,400m hurdles,3rd
51.38 s,ALBA Games,400 m hurdles,1st
50.48 s,Olympic Games,400 m hurdles,7th (sf)
49.69 s,Ibero-American Championships,400 m hurdles,2nd
3:05.73 min,ALBA Games,4 × 400 m relay,2nd
