Years,Production,Role,Director,Location
2004,Ain't Misbehavin,Charlaine,Marcia Milgrom Dodge,Huntington Theatre Company
2005,Lady Windermere's Fan,Lady Plymdale,Moisés Kaufman,Williamstown Theatre Festival
2005,On The Razzle,Lisette,David Jones,Williamstown Theatre Festival
2005,Prudence,Sarah,Tyler Marchant,Connecticut Repertory Theatre
2006,Reverend Billy and the Stop Shopping Choir,"Activist, Singer",Savitri D,Internationally
2009,A Midsummer Night's Dream,"Puck, Hippolyta, Theseus",Jim Calder,"Florence's Villa La Pietra, NYC Bandshells, Classic Stage Company"
2010,The Octoroon,Zoe,-,P.S. 122
2010,Banished Children of Eve,Eliza,Ciaran O’Reilly,Irish Repertory Theatre
2011,Sueño,The Sun,Jack Fletcher,Atlas Theatre
2011– 2013,The TEAM's Mission Drift,Joan,Rachel Chavkin,"P.S. 122's COIL Festival, London's National Theatre, Edinburgh's Traverse Theatre, Lisbon, Coimbra, Salzburg, Hong Kong, Perth, Williams College"
2012,All Hands,Greta,Alec Duffy,Hoi Polloi
2012,We Play for the Gods,Simi,"Jessi D. Hill, Sarah Rasmussen, Mia Rovegno",Women's Project
2012,The World is Round,Rose Rose Rose,Rachel Dickstein,Ripe Time
2012,"Natasha, Pierre & The Great Comet of 1812",Hélène,Rachel Chavkin,Ars Nova
2012,Eager to Lose,Trixie,Portia Krieger and Wes Grantom,Ars Nova
2013,"Natasha, Pierre & The Great Comet of 1812",Hélène,Rachel Chavkin,Kazino Meatpacking District
2014,"Natasha, Pierre & The Great Comet of 1812",Hélène,Rachel Chavkin,Kazino Times Square
2014,An Octoroon,Zoe,Sarah Benson,Soho Rep
2014–2015,A 24 Decade History of Popular Music: 1900's-1950's,Singer,"Taylor Mac, Niegel Smith",New York Live Arts with Under the Radar
2015,An Octoroon,Zoe,Sarah Benson,Theatre for a New Audience
2015,Oklahoma!,Laurey Williams,Daniel Fish,Bard SummerScape
2015,Iphigenia in Aulis,"Clytemnestra, Menelaus",Rachel Chavkin,Classic Stage Company
2016,Hadestown,Persephone,Rachel Chavkin,New York Theatre Workshop
2016–2017,"Natasha, Pierre & The Great Comet of 1812",Hélène,Rachel Chavkin,"Imperial Theatre, Broadway"
2017,The TEAM's Primer for a Failed Superpower,"Activist, Singer",Rachel Chavkin,Roulette
2017,Hadestown,Persephone,Rachel Chavkin,Edmonton's Citadel Theatre
2018–2019,Hadestown,Persephone,Rachel Chavkin,London's National Theatre
2019,Hadestown,Persephone,Rachel Chavkin,"Walter Kerr Theatre, Broadway"
