Club,Season,Division,League,League,FA Cup,FA Cup,Other,Other,Total,Total
Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
Port Vale,1963–64,Third Division,2,0,0,0,0,0,2,0
Port Vale,1964–65,Third Division,28,0,2,0,1,0,31,0
Port Vale,1965–66,Fourth Division,41,0,4,0,1,0,46,0
Port Vale,1966–67,Fourth Division,41,0,3,0,1,0,45,0
Port Vale,Total,Total,112,0,9,0,3,0,124,0
Bury (loan),1971–72,Fourth Division,6,1,0,0,0,0,6,1
Blackburn Rovers (loan),1976–77,Second Division,3,1,2,0,0,0,5,1
Blackpool,1967–68,Second Division,6,0,0,0,0,0,6,0
Blackpool,1968–69,Second Division,15,1,0,0,1,0,16,1
Blackpool,1969–70,Second Division,9,0,0,0,1,0,10,0
Blackpool,1970–71,First Division,21,0,0,0,6,1,27,1
Blackpool,1971–71,Second Division,24,0,0,0,6,1,30,1
Blackpool,1972–73,Second Division,30,3,1,0,10,0,41,3
Blackpool,1973–74,Second Division,41,12,1,0,2,0,44,12
Blackpool,1974–75,Second Division,23,4,1,0,2,0,26,4
Blackpool,1975–76,Second Division,24,1,2,1,3,0,29,2
Blackpool,Total,Total,193,21,5,1,31,2,129,24
Portland Timbers (loan),1977,NASL,7,2,–,–,–,–,7,2
Port Vale,1976–77,Third Division,1,0,0,0,0,0,1,0
Port Vale,1977–78,Third Division,3,0,0,0,3,2,6,2
Port Vale,Total,Total,4,0,0,0,3,2,7,2
Halifax Town,1977–78,Fourth Division,14,2,0,0,0,0,14,2
Career Total,Career Total,Career Total,339,27,16,1,37,4,392,32
