Year,Competition,Venue,Position,Event,Notes
2016,European Championships,"Amsterdam, Netherlands",1st,Half marathon,1:10:19
2009,World Championships in Athletics,"Berlin, Germany",10th,5000 m,15:12.22
2012,Olympic Games,"London, United Kingdom",14th,"10,000 m",31:16.44
2009,European Cross Country Championships,"Dublin, Ireland",1st,Team race,25 pts
2009,World Cross Country Championships,"Amman, Jordan",3rd,Senior race - Team,72 pts
2009,European Team Championships,"Leiria, Portugal",7th,1500 m,4:12.94
2010,World Cross Country Championships,"Bydgoszcz, Poland",27th,Senior race (7.759 km),26:22
2010,European Cross Country Championships,"Albufeira, Portugal",9th,Senior race (8.170 km),27:26
2009,Universiade,"Belgrade, Serbia",1st,3000 m st,9:32.62
Representing Portugal,Representing Portugal,Representing Portugal,Representing Portugal,Representing Portugal,Representing Portugal
2008,World Cross Country Championships,"Edinburgh, United Kingdom",8th,Senior race - Team,165 pts
2009,European Cross Country Championships,"Dublin, Ireland",10th,Senior race (8.018 km),28:32
2008,Olympic Games,"Beijing, China",22nd (h),3000 m st.,9:34.39
2009,Lusophony Games,"Lisbon, Portugal",1st,5000 m,15.45.05
2009,Universiade,"Belgrade, Serbia",1st,5000 m,15:32.78
2011,Universiade,"Shenzhen, China",2nd,5000 m,15:45.83
2007,European U23 Championships,"Debrecen, Hungary",3rd,3000 m st.,9:42.47
2007,World Championships,"Osaka, Japan",13th,3000 m st.,10:00.40
2014,New York City Marathon,"New York City, USA",3rd,Marathon,2:25:59
2008,World Cross Country Championships,"Edinburgh, United Kingdom",50th,Senior race (7.905 km),27:50
