Win,Year(s) lost,Teams,Year(s) won,Loss
—,-,Buffalo Braves/San Diego/Los Angeles Clippers,-,—
0,"1997, 1998",New Orleans/Utah Jazz,—,2
3,"1950, 1954, 1977, 1980, 1982, 2001",Syracuse Nationals/Philadelphia 76ers,"1955, 1967, 1983",6
16,"1959, 1962, 1963, 1965, 1966, 1968, 1969, 1970, 1973, 1983, 1984, 1989, 1991, 2004, 2008",Minneapolis/Los Angeles Lakers,"1949, 1950, 1952, 1953, 1954, 1972, 1980, 1982, 1985, 1987, 1988, 2000, 2001, 2002, 2009, 2010",15
1,—,Baltimore Bullets (original) (folded in 1954),1948,0
1,"1978, 1996, 2012",Seattle SuperSonics/Oklahoma City Thunder,1979,3
0,2000,Indiana Pacers,—,1
6,—,Chicago Bulls,"1991, 1992, 1993, 1996, 1997, 1998",0
0,"1995, 2009",Orlando Magic,—,2
0,1947,Chicago Stags (folded in 1950),—,1
2,"1981, 1986",Houston Rockets,"1994, 1995",2
5,2013,San Antonio Spurs,"1999, 2003, 2005, 2007, 2014",1
1,—,Rochester/Cincinnati Royals/Kansas City/Sacramento Kings,1951,0
0,"2002, 2003",New Jersey/Brooklyn Nets,—,2
1,1974,Milwaukee Bucks,1971,1
6,"1948, 1964, 1967, 2016",Philadelphia/San Francisco/Golden State Warriors,"1947, 1956, 1975, 2015, 2017, 2018",4
0,"1976, 1993",Phoenix Suns,—,2
1,2006,Dallas Mavericks,2011,1
1,"2007, 2015, 2017, 2018",Cleveland Cavaliers,2016,4
3,"2011, 2014",Miami Heat,"2006, 2012, 2013",2
1,"1957, 1960, 1961",St. Louis/Atlanta Hawks,1958,3
—,-,Vancouver/Memphis Grizzlies,-,—
—,-,Minnesota Timberwolves,-,—
3,"1955, 1956, 1988, 2005",Fort Wayne/Detroit Pistons,"1989, 1990, 2004",4
17,"1958, 1985, 1987, 2010",Boston Celtics,"1957, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1968, 1969, 1974, 1976, 1981, 1984, 1986, 2008",4
—,-,Denver Nuggets,-,—
1,"1990, 1992",Portland Trail Blazers,1977,2
2,"1951, 1952, 1953, 1972, 1994, 1999",New York Knicks,"1970, 1973",6
1,"1971, 1975, 1979",Baltimore/Washington Bullets/Washington Wizards,1978,3
—,-,New Orleans Hornets/Pelicans,-,—
—,-,Toronto Raptors,-,—
—,-,Charlotte Hornets/Bobcats,-,—
0,1949,Washington Capitols (folded in 1951),—,1
