Notes,Venue,Event,Position
30:10.05,"Havana, Cuba","10,000 m",3rd
Representing Ecuador,Representing Ecuador,Representing Ecuador,Representing Ecuador
2:12:00,"Beppu-Ōita, Japan",Marathon,1st
29:54.22,"Maracaibo, Venezuela","10,000 m",1st
29:28.1 A,"Medellín, Colombia","10,000 m",1st
DNF,"Stuttgart, Germany","10,000 m",—
2:21:30,"Barcelona, Spain",Marathon,43rd
28:53.90,"Santiago, Chile","10,000 m",1st
30:16.49 A,"Cochabamba, Bolivia","10,000 m",1st
28:20.24,"Rome, Italy","10,000 m",10th
29:19.16,"São Paulo, Brazil","10,000 m",2nd
28:22.56,"Indianapolis, United States","10,000 m",2nd
DNF,"Mar del Plata, Argentina",Marathon,–
28:55.16,"Seville, Spain","10,000 m",3rd
2:17:40,"Atlanta, Georgia",Marathon,22nd
28:43.01,"Moscow, Soviet Union","10,000 m",9th
14:24.64,"Maracaibo, Venezuela",5000 m,2nd
2:11:39,"Los Angeles, United States",Marathon,1st
-,"Santiago, Chile","5,000 m",2nd
28:17.64,"Seoul, South Korea","10,000 m",15th
14:03.00,"São Paulo, Brazil","5,000 m",1st
