Club,Division,Season
Club,Division,Season
Port Vale,First Division,1998–99
Leyton Orient,League One,2007–08
Mansfield Town,Total,Total
Leyton Orient,League One,2006–07
Port Vale,Total,Total
Career total,Career total,Career total
Mansfield Town,Third Division,2001–02
Mansfield Town,Second Division,2002–03
Mansfield Town,League Two,2004–05
Leyton Orient,Total,Total
Port Vale,First Division,1996–97
Port Vale,First Division,1994–95
Scunthorpe United,Total,Total
Mansfield Town,Third Division,2000–01
Chester City (loan),League Two,2005–06
Port Vale,First Division,1999–2000
Port Vale,First Division,1997–98
Port Vale,First Division,1995–96
Mansfield Town,Third Division,2003–04
Leyton Orient,League Two,2005–06
Notts County (loan),League Two,2007–08
Scunthorpe United,League Two,2004–05
Scunthorpe United,League One,2005–06
