FA Cup,FA Cup,League,League,Other,Other,Total,Total,Season,Club
Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Season,Club
1,0,16,0,1,0,18,0,1998–99,Port Vale
2,0,26,0,2,0,30,0,2007–08,Leyton Orient
10,1,192,35,16,2,218,38,Total,Mansfield Town
3,2,42,3,1,0,46,5,2006–07,Leyton Orient
3,1,66,1,4,0,73,2,Total,Port Vale
20,4,362,41,28,2,410,47,Career total,Career total
3,1,46,8,2,0,51,9,2001–02,Mansfield Town
2,0,44,13,2,0,48,13,2002–03,Mansfield Town
1,0,24,3,2,0,27,3,2004–05,Mansfield Town
5,2,76,5,3,0,84,7,Total,Leyton Orient
0,0,12,0,1,0,13,0,1996–97,Port Vale
0,0,1,0,0,0,1,0,1994–95,Port Vale
2,0,17,0,5,0,24,0,Total,Scunthorpe United
1,0,34,3,5,2,40,5,2000–01,Mansfield Town
0,0,2,0,0,0,2,0,2005–06,Chester City (loan)
0,0,2,0,0,0,2,0,1999–2000,Port Vale
2,1,33,11,2,0,37,12,1997–98,Port Vale
0,0,2,0,0,0,2,0,1995–96,Port Vale
3,0,44,8,8,0,52,8,2003–04,Mansfield Town
0,0,8,2,0,0,8,2,2005–06,Leyton Orient
0,0,9,0,0,0,9,0,2007–08,Notts County (loan)
0,0,8,0,0,0,8,0,2004–05,Scunthorpe United
2,0,9,0,5,0,16,0,2005–06,Scunthorpe United
