Year,Association,Category,Nominee,Result
2011,CMT Music Awards,Duo Video of the Year,"""Barton Hollow""",Nominated
2011,Americana Music Association,New/Emerging Artist of the Year,The Civil Wars,Nominated
2011,Americana Music Association,Duo/Group of the Year,The Civil Wars,Nominated
2011,Country Music Association Awards,Vocal Duo of the Year,The Civil Wars,Nominated
2011,ASCAP Awards,ASCAP Vanguard Award,The Civil Wars,Won
2012,2012 Grammy Award,Best Folk Album,Barton Hollow,Won
2012,2012 Grammy Award,Best Country Duo/Group Performance,"""Barton Hollow""",Won
2012,CMT Music Awards,Video of the Year,"""Safe & Sound"" (as featuring)",Nominated
2012,CMT Music Awards,Collaborative Video of the Year,"""Safe & Sound"" (as featuring)",Nominated
2012,CMT Music Awards,Duo Video of the Year,"""Poison & Wine""",Nominated
2012,Americana Music Association,Duo/Group of the Year,The Civil Wars,Won
2012,A2IM Libera Awards,Album of the Year,Barton Hollow,Nominated
2012,Country Music Association Awards,Vocal Duo of the Year,The Civil Wars,Nominated
2012,Country Music Association Awards,Musical Event of the Year,"""Safe & Sound"" (as featuring)",Nominated
2013,2013 Grammy Award,Best Country Duo/Group Performance,"""Safe & Sound"" (as featuring)",Nominated
2013,2013 Grammy Award,Best Song Written for Visual Media,"""Safe & Sound"" (as featuring)",Won
2013,2012 Golden Globe Award,Best Original Song,"""Safe & Sound"" (as featuring)",Nominated
2014,2014 Grammy Award,Best Country Duo/Group Performance,"""From This Valley""",Won
