First aired,Title,Episode
Terry is caught up in an armed robbery at a laundrette owned by gangster-turned-successful businessman Alfie Cavallo. The robbery goes wrong and all present are held at gunpoint.,Terry is caught up in an armed robbery at a laundrette owned by gangster-turned-successful businessman Alfie Cavallo. The robbery goes wrong and all present are held at gunpoint.,Terry is caught up in an armed robbery at a laundrette owned by gangster-turned-successful businessman Alfie Cavallo. The robbery goes wrong and all present are held at gunpoint.
"Terry guards Albert Stubbs, a newly released bank robber until he can retrieve the stolen money he has buried. He discovers that he's actually lumbered with George Wilson, a look-alike decoy, to divert attention from the 'real' Stubbs, who is being housed at Arthur's flat.","Terry guards Albert Stubbs, a newly released bank robber until he can retrieve the stolen money he has buried. He discovers that he's actually lumbered with George Wilson, a look-alike decoy, to divert attention from the 'real' Stubbs, who is being housed at Arthur's flat.","Terry guards Albert Stubbs, a newly released bank robber until he can retrieve the stolen money he has buried. He discovers that he's actually lumbered with George Wilson, a look-alike decoy, to divert attention from the 'real' Stubbs, who is being housed at Arthur's flat."
"Guest stars: Ann Lynn as Rose Mellors, Kenneth Cope as Stubbs, Nicky Henson as George, Tony Selby as Jacko.","Guest stars: Ann Lynn as Rose Mellors, Kenneth Cope as Stubbs, Nicky Henson as George, Tony Selby as Jacko.","Guest stars: Ann Lynn as Rose Mellors, Kenneth Cope as Stubbs, Nicky Henson as George, Tony Selby as Jacko."
5 November 1979,"""Bury My Half at Waltham Green""",2
"Terry guards a visiting Lebanese businessman/politician at a West Kensington flat. Initially told it's a simple job, he finds that the visitor has been set up for a politically motivated assassination.","Terry guards a visiting Lebanese businessman/politician at a West Kensington flat. Initially told it's a simple job, he finds that the visitor has been set up for a politically motivated assassination.","Terry guards a visiting Lebanese businessman/politician at a West Kensington flat. Initially told it's a simple job, he finds that the visitor has been set up for a politically motivated assassination."
"After being banned by several casinos for being too successful, Maurice Michaelson, a professional gambler, participates in an illegal high-stakes card game, with Terry minding him.","After being banned by several casinos for being too successful, Maurice Michaelson, a professional gambler, participates in an illegal high-stakes card game, with Terry minding him.","After being banned by several casinos for being too successful, Maurice Michaelson, a professional gambler, participates in an illegal high-stakes card game, with Terry minding him."
"Guest stars: Dave King as Alfie Cavallo, Hilary Mason as Mrs. Mayhew, Donald Burton as Chief Superintendent, Arnold Diamond as Bernie.","Guest stars: Dave King as Alfie Cavallo, Hilary Mason as Mrs. Mayhew, Donald Burton as Chief Superintendent, Arnold Diamond as Bernie.","Guest stars: Dave King as Alfie Cavallo, Hilary Mason as Mrs. Mayhew, Donald Burton as Chief Superintendent, Arnold Diamond as Bernie."
"Terry and Arthur assist Charlie, a Greek Cypriot newly arrived in London, but learn that he's come with a rifle in order to kill Omar, the Turkish Cypriot man he believes killed his brother in Cyprus.","Terry and Arthur assist Charlie, a Greek Cypriot newly arrived in London, but learn that he's come with a rifle in order to kill Omar, the Turkish Cypriot man he believes killed his brother in Cyprus.","Terry and Arthur assist Charlie, a Greek Cypriot newly arrived in London, but learn that he's come with a rifle in order to kill Omar, the Turkish Cypriot man he believes killed his brother in Cyprus."
19 November 1979,"""A Tethered Goat""",4
"Guest stars: Lee Montague as Bassam Sayin, Kenneth Griffith as Dai Llewellyn, Michael Sheard as Elliot, Nadim Sawalha as Sardi, Patrick Jordan as Police Inspector, Ian Collier as 1st Police Sergeant, David Millett as 2nd Police Sergeant.","Guest stars: Lee Montague as Bassam Sayin, Kenneth Griffith as Dai Llewellyn, Michael Sheard as Elliot, Nadim Sawalha as Sardi, Patrick Jordan as Police Inspector, Ian Collier as 1st Police Sergeant, David Millett as 2nd Police Sergeant.","Guest stars: Lee Montague as Bassam Sayin, Kenneth Griffith as Dai Llewellyn, Michael Sheard as Elliot, Nadim Sawalha as Sardi, Patrick Jordan as Police Inspector, Ian Collier as 1st Police Sergeant, David Millett as 2nd Police Sergeant."
