Church,Year built,Location,Parish (sokn)
Kvalsund Church,1936,Kvalsund,Kvalsund
Mehamn Chapel,1965,Mehamn,Gamvik
Veidnes Chapel,1981,Veidnes,Lebesby
Gamvik Church,1958,Gamvik,Gamvik
Kunes Chapel,-,Kunes,Lebesby
Skarsvåg Church,1961,Skarsvåg,Nordkapp
Kokelv Church,1960,Kokelv,Kokelv
Havøysund Church,1961,Havøysund,Måsøy
Ingøy Church,1957,Ingøy,Måsøy
Gunnarnes Chapel,1986,Rolvsøya,Måsøy
Måsøy Church,1953,Måsøya,Måsøy
Honningsvåg Church,1885,Honningsvåg,Nordkapp
Slotten Chapel,1965,Slåtten,Måsøy
Repvåg Church,1967,Repvåg,Nordkapp
Lebesby Church,-,1962,Lebesby
Gjesvær Chapel,1960,Gjesvær,Nordkapp
Sennalandet Chapel,1961,Áisaroaivi,Kvalsund
Hop Church,1977,Skjånes,Gamvik
Hammerfest Church,1961,Hammerfest,Hammerfest
Kjøllefjord Church,1951,Kjøllefjord,Lebesby
