Winner,Description,Season
Dave Poulin,Forward who best excels in the defensive aspect of the game,1986–87
Robert Esche,Fewest goals given up in the regular season (1981–present),2002–03
Mike Keenan,Top coach during the regular season,1984–85
Mark Howe,Highest plus/minus,1985–86
Eric Lindros,Most Valuable Player during the regular season,1994–95
Bobby Clarke,Most outstanding player during the regular season,1973–74
Pat Quinn,Top coach during the regular season,1979–80
Ron Hextall,Top goaltender (1981–present),1986–87
John LeClair,Highest plus/minus,1996–97
Bobby Clarke,Forward who best excels in the defensive aspect of the game,1982–83
Bobby Clarke,Most Valuable Player during the regular season,1974–75
Fred Shero,Top coach during the regular season,1973–74
Bernie Parent,Most valuable player of the playoffs,1973–74
Ron Hextall,Most valuable player of the playoffs,1986–87
Reggie Leach,Most valuable player of the playoffs,1975–76
Bobby Clarke,Most Valuable Player during the regular season,1972–73
Bobby Clarke,Most Valuable Player during the regular season,1975–76
Eric Lindros,Most outstanding player during the regular season,1994–95
John LeClair,Highest plus/minus,1998–99
Bobby Clarke,"Perseverance, sportsmanship, and dedication to hockey",1971–72
Darren Jensen,Fewest goals given up in the regular season (1981–present),1985–86
Bernie Parent,Fewest goals given up in the regular season (1927–1981),1973–74
Tim Kerr,"Perseverance, sportsmanship, and dedication to hockey",1988–89
Pelle Lindbergh,Top goaltender (1981–present),1984–85
Bob Froese,Fewest goals given up in the regular season (1981–present),1985–86
Bernie Parent,Fewest goals given up in the regular season (1927–1981),1974–75
Roman Cechmanek,Fewest goals given up in the regular season (1981–present),2002–03
Bernie Parent,Most valuable player of the playoffs,1974–75
Bill Barber,Top coach during the regular season,2000–01
Ian Laperriere,"Perseverance, sportsmanship, and dedication to hockey",2010–11
