Name,Photograph,Line,Date,Location,Present status
Ardingly,"Stationmaster's House at former Ardingly Railway Station, West Sussex in 2005",Haywards Heath – Horsted Keynes,1883,TQ338276 51°01′56″N 0°05′25″W / 51.0321°N 0.0904°W,Private residence
Barcombe,"The former Barcombe Station, West Sussex in 2008",Lewes – East Grinstead (Bluebell Line),1882,TQ416157 50°55′24″N 0°00′56″E / 50.9234°N 0.0155°E,Private residence
Horsted Keynes,"Horsted Keynes station, West Sussex",Lewes – East Grinstead (Bluebell Line),1882,TQ370293 51°02′46″N 0°02′41″W / 51.0461°N 0.0446°W,Operational
Heathfield,Postcard of Heathfield station from the early 1900s,Hailsham – Eridge (Cuckoo Line),1880,TQ579213 50°58′11″N 0°15′00″E / 50.9697°N 0.2500°E,Private residence
East Grinstead,"The third East Grinstead railway station, West Sussex in the 1900s",Lewes – East Grinstead (Bluebell Line),1882,TQ387382 51°07′35″N 0°01′04″W / 51.1264°N 0.0178°W,Station operational but Myres buildings demolished
Newick and Chailey,"The former Newick and Chailey Railway Station, West Sussex in 1882",Lewes – East Grinstead (Bluebell Line),1882,TQ400210 50°58′19″N 0°00′23″W / 50.9720°N 0.0063°W,Demolished
Singleton,"The former Singleton Railway Station, West Sussex in 2006",Chichester – Midhurst,1881,SU866130 50°54′37″N 0°46′06″W / 50.9102°N 0.7683°W,Private residence
Sheffield Park,Sheffield Park Railway Station,Lewes – East Grinstead (Bluebell Line),1882,TQ403236 50°59′44″N 0°00′04″W / 50.9956°N 0.0011°W,Operational
Mayfield,"The former Mayfield Railway Station, East Sussex in 1986",Hailsham – Eridge (Cuckoo Line),1880,TQ577268 51°01′07″N 0°14′57″E / 51.0185°N 0.2493°E,Private residence
Cocking,"The former Cocking Railway Station, West Sussex in 1985",Chichester – Midhurst,1881,SU873177 50°57′06″N 0°45′23″W / 50.9517°N 0.7563°W,Private residence
Kingscote,"Kingscote station, West Sussex",Lewes – East Grinstead (Bluebell Line),1882,TQ366356 51°06′11″N 0°02′55″W / 51.1031°N 0.0486°W,Operational
