Year,Film,Role,Notes
2009,The Scouting Book for Boys,David,Nominated – ALFS Award for Young British Performer of the Year
2010,Dirty Egg,The Kid,'Short'
2010,This Is England '86,Shaun Fields,TV series (4 episodes)
2012,Coming Up,Lump,TV series (1 episode)
2015,Jacked,Waylen,Short Film
2017,Game of Thrones,Lannister Soldier,"Episode: ""Dragonstone"""
2017,Kingsman: The Golden Circle,Liam,Film
2018,Terminal,Raymond,Film
2018,Hymn of Hate,Private Billy Booth,Short Film
2019,Avengement,Tune,filming
