Year,Director,Title,Role,Theatre,Notes
2010,Anthony Page,Design for Living,Otto,The Old Vic,"with Andrew Scott, Lisa Dillon and Angus Wright"
2008,Tom Burke,Excerpt from The Poisoned Atmosphere,-,Soho Studio,Directed
2004,Tim Carroll,Romeo and Juliet,Romeo,Shakespeare's Globe,"with Kananu Kirimi, John McEnery, and Bette Bourne"
2007,William Oldroyd,Scenes from an Execution,Carpeta,Hackney Empire,-
2007,Lucy Bailey,Glass Eels,Kenneth,Hampstead Theatre,-
2016,Michael Attenborough,Reasons to be Happy,Greg,Hampstead Theatre,"with Warren Brown, Robyn Addison and Lauren O'Neil"
2005,John Caird,Macbeth,Malcolm,Almeida Theatre,"with Simon Russell Beale, Emma Fielding, and William Gaunt"
2007,Gadi Roll,Don Juan Comes Back From the War,Don Juan,"Belgrade Theatre, Coventry",-
2012,Nadia Fall,The Doctor's Dilemma,Louis Dubedat,Royal National Theatre,with Genevieve O'Reilly and Malcolm Sinclair
2011,Michael Attenborough,reasons to be pretty,Greg,Almeida Theatre,with Billie Piper
2003,Paul Miller,"The Wax King (Henry VI, Part 3)",Lord Clifford,The Dreaming Will Initiative,part of the documentary film How do You Know My Daughter?
2003,Helen Eastman,The Monument,Stetko,Finborough Theatre,-
2002,Howard Barker,Gertrude – The Cry,Hamlet,Riverside Studios,-
2008,Alan Rickman,Creditors,Adolph,Donmar Warehouse,for which he won the Ian Charleson Award; with Anna Chancellor and Owen Teale
2003,Paul Miller,Fragile Land,Fidel,Hampstead Theatre,-
2019,Ian Ricksonl,Rosmersholm,Johannes Rosmer,Duke of York's Theatre,with Hayley Atwell
2006,Michael Grandage,The Cut,Stephen,Donmar Warehouse,"with Ian McKellen, Jimmy Akingbola, and Deborah Findlay"
2008,Maria Aberg,I'll Be The Devil,Dermot,Tricycle Theatre,-
2005,David Tucker,The Incarcerator,Liddle,Old Red Lion Theatre,-
2009,Francis Matthews,Restoration,Robert Merivel,Salisbury Playhouse,-
2016,Carrie Cracknelll,Deep Blue Sea,Freddie Page,Royal National Theatre,with Helen McCrory
