Year,Award,Category,Work,Result
2012,Teen Choice Awards,Fashion Icon: Male,Himself,Nominated
2011,Screen Actors Guild Awards,Outstanding Performance by an Ensemble in a Comedy Series,Glee,Nominated
2009,Satellite Awards,"Best Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television",Glee,Nominated
2011,Screen Actors Guild Awards,Outstanding Performance by a Male Actor in a Comedy Series,Glee,Nominated
2013,Screen Actors Guild Awards,Outstanding Performance by an Ensemble in a Comedy Series,Glee,Nominated
2012,People's Choice Awards,Favorite TV Comedy Actor,Himself,Nominated
2010,Primetime Emmy Awards,Outstanding Supporting Actor in a Comedy Series,Glee,Nominated
2012,Screen Actors Guild Awards,Outstanding Performance by an Ensemble in a Comedy Series,Glee,Nominated
2011,Golden Globe Award,Best Performance by an Actor in a Supporting Role in a Series,Glee,Won
2010,Satellite Awards,Outstanding Supporting Actor in a Comedy Series,Glee,Nominated
2011,Teen Choice Awards,Fashion Icon: Male,Himself,Nominated
2015,People's Choice Awards,Favorite Comedic TV Actor,Himself,Won
2010,Screen Actors Guild Awards,Outstanding Performance by an Ensemble in a Comedy Series,Glee,Won
2010,Teen Choice Awards,Choice TV: Male Scene Stealer,Glee,Won
