Year,Title,Role,Notes
2006,LOL,Greta,-
2007,Hannah Takes the Stairs,Hannah,Also writer
2008,Baghead,Michelle,-
2008,Yeast,Gen,-
2008,Nights and Weekends,Mattie,"Also writer, director, and producer"
2008,"Quick Feet, Soft Hands",Lisa,Short film
2008,I Thought You Finally Completely Lost It,Greta,-
2009,You Wont Miss Me,Bridget,-
2009,The House of the Devil,Megan,-
2010,Greenberg,Florence Marr,-
2010,Art House,Nora Ohr,-
2010,Northern Comfort,Cassandra,Also writer
2010,The Dish & the Spoon,Rose,-
2011,No Strings Attached,Patrice,-
2011,Damsels in Distress,Violet Wister,-
2011,Arthur,Naomi Quinn,-
2012,To Rome with Love,Sally,-
2012,Lola Versus,Lola,-
2012,Frances Ha,Frances Halladay,Also writer
2014,Eden,Julia,-
2014,The Humbling,Pegeen Mike Stapleford,-
2015,Mistress America,Brooke Cardinas,Also writer and producer
2015,Maggie's Plan,Maggie Hardin,-
2016,Wiener-Dog,Dawn Wiener,-
2016,Jackie,Nancy Tuckerman,-
2016,20th Century Women,Abigail Porter,-
2017,The Meyerowitz Stories,Victoria,Voice; Uncredited
2017,Lady Bird,N/A,Writer and director
2018,Isle of Dogs,Tracy Walker,Voice
2019,Little Women,N/A,Post-production; Writer and director
