Year,Title,Role,Notes
1999,Storm of the Century,Pippa Hatcher,2 episodes
1999,JAG,Rachel Sherkston,"Episode: ""Shakedown"""
1999,Judging Amy,Marcy Noble,"Episode: ""Presumed Innocent"""
1999,Witness Protection,Suzie Batton,TV film
2000,Providence,Jessie,"Episode: ""Taking a Chance on Love"""
2000,Frasier,Girl with Drawing,"Episode: ""The Three Faces of Frasier"""
2000,Law & Order: Special Victims Unit,Jennifer,"Episode: ""Legacy"""
2000,The Darkling,Casey Obold,TV film
2001,Touched by an Angel,Sarah,"Episode: ""The Birthday Present"""
2001,Blonde,Young Norma Jeane Baker,TV film
2002,Firestarter: Rekindled,Young Charlie McGee,TV film
2002,Beyond the Prairie: The True Story of Laura Ingalls Wilder,Rose Wilder,TV film
2002–03,24,Megan Matheson,8 episodes
2003,Love Comes Softly,Missie Davis,TV film
2004,George Lopez,L'il Bit,2 episodes
2005,House,Mary Carroll,"Episode: ""Kids"""
2005,Lost,Young Kate Austen (voice),"Episode: ""Born to Run""; uncredited"
2005,CSI: Crime Scene Investigation,Susan Lester,"Episode: ""Bite Me"""
2007,Close to Home,Amber,"Episode: ""Fall from Grace"""
