Year,Competition,Venue,Position,Event,Notes
2002,African Championships,"Radès, Tunisia",6th,"10,000 m",28:47.29
2003,World Half Marathon Championships,"Vilamoura, Portugal",7th,Half marathon,1:01:26
2004,World Cross Country Championships,"Brussels, Belgium",6th,12 km,36:37
2005,World Cross Country Championships,"Saint-Étienne, France",2nd,12 km,35:20
2006,World Road Running Championships,"Debrecen, Hungary",1st,20 km,56:01
2007,World Road Running Championships,"Udine, Italy",1st,Half marathon,58:59
2008,World Cross Country Championships,"Edinburgh, Scotland",3rd,12 km,34:43
2008,Olympic Games,"Beijing, China",5th,"10,000 m",27:05.11
2008,World Half Marathon Championships,"Rio de Janeiro, Brazil",1st,Half marathon,59:56
2010,Lisbon Half Marathon,"Lisbon, Portugal",1st,Half marathon,58:23 WR
2010,World Half Marathon Championships,"Nanning, China",2nd,Half marathon,1:00:11
2012,World Half Marathon Championships,"Kavarna, Bulgaria",1st,Half Marathon,1:00:19
