Municipality,Parish (sokn),Church,Location,Year built,Photo
Forsand,Forsand,Forsand Church,Forsand,1854,Forsand - church.JPG
Forsand,Forsand,Lyse Chapel,Lysebotn,1961,Lysebotn - church.JPG
Hjelmeland,Årdal,Old Årdal Church,1619,-,-
Suldal,Suldal Church,Suldalsosen,1852,-,-
Suldal,Sand,Marvik Chapel,Marvik,1920,-
Suldal,Jelsa,Jelsa Church,Jelsa,1647,-
Strand,Jørpeland,Jørpeland Church,Jørpeland,1969,-
Strand,Strand Church,Tau,1874,-,-
Hjelmeland,Fister,Fister Church,Fister,1867,-
Suldal,Nesflaten Chapel,Nesflaten,1853,-,-
