Title,Role,Year
Zeroville,Soledad Paladin,2019
Confessions of a Teenage Drama Queen,Carla Santini,2004
Whore,Lost,2008
The Dictator,Herself,2012
Above the Shadows,Juliana,2019
Holiday in the Sun,Brianna,2001
Naya Legend of the Golden Dolphins,Hawaiian Spinner Dolphins,2010
Battle of Jangsa-ri 9.15,Marguerite Higgins,2019
Passion Play,Lily Luster,2010
Bad Boys II,Stars-and-Stripes Bikini Kid Dancing Under Waterfall,2003
How to Lose Friends & Alienate People,Sophie Maes,2008
Think Like a Dog,-,2018
Jonah Hex,Tallulah Black / Lilah,2010
Friends with Kids,Mary Jane,2011
Transformers: Revenge of the Fallen,Mikaela Banes,2009
Naya: Legend of the Golden Dolphin,Princess Leilani,2019
Jennifer's Body,Jennifer Check,2009
Teenage Mutant Ninja Turtles,April O'Neil,2014
Teenage Mutant Ninja Turtles: Out of the Shadows,April O'Neil,2016
This Is 40,Desi,2012
Transformers,Mikaela Banes,2007
