Album,Title,Other artist(s)
Cocaine 2,"""Da A""",Big Kuntry King
Everything Big,"""Wanna Blow""",Big Kuntry King
Ten Toes Down,"""Billy (Truth Be Told)""",8Ball & MJG
Drocabulary,"""Hello""",Young Dro
N/A,"""So Much Money (Remix)""","8Ball & MJG, Yo Gotti"
Cocaine 2,"""Dats My Dawg""",Big Kuntry King
Ten Toes Down,"""Right Now""",8Ball & MJG
Overdose,"""La Folie Des Grandeurs""",Gizo Evoracci
No Pressure,"""Feet Don't Fail Me Now""","Spodee, B.o.B, T.I."
Everything Big,"""Follow Me Home""","Big Kuntry King, C-Gutta"
No Mercy,"""How Life Changed""","T.I., Scarface"
G.D.O.D. II,"""Puttin In Work""","Doe B, Trae tha Truth, Young Dro, 5Mics, Yung Booke"
Paper Trail,"""Collect Calls""",T.I.
DOAT 3 (Definition of a Trapper),"""Love to Hate Me""","Doe B, Big Kuntry King, T.I."
G.D.O.D. (Get Dough or Die),"""Intro""",T.I.
Look Alive,"""Picture Me Swangin (Remix)""","De'Lorean, Slim Thug, Lil Keke, Paul Wall"
No Pressure,"""Sunlight""","Spodee, B.o.B"
TM 103: Hustlerz Ambition,"""Higher Learning""","Young Jeezy, Devin the Dude, Snoop Dogg"
