Party,Votes,Seats,+/–
Bulgarian Agrarian National Union,"24,710",12,0
People's Liberal Party,"45,810",8,–16
Radical Democratic Party,-,6,New
Progressive Liberal Party,"121,737",89,+49
Bulgarian Social Democratic Workers' Party,"19,250",7,+5
Invalid/blank votes,0,–,–
Independents,"59,010",15,–4
Conservative Party,-,2,0
Total,"404,497",189,+25
People's Party,"82,010",28,–1
Source: Nohlen & Stöver,Source: Nohlen & Stöver,Source: Nohlen & Stöver,Source: Nohlen & Stöver
Liberal Party,"28,260",7,+2
Other parties,-,8,+4
Democratic Party,"23,710",7,–20
