Film,Role,Year
"Look, Stranger",-,2010
An Enemy to Die For,Terrence,2012
The Enlightenment,Daniel Clay,2006
Telstar,Geoff Goddard,2009
Donkey Punch,Bluey,2008
The Souvenir,Anthony,2019
Chéri,Vicomte Desmond,2009
I Want Candy,John 'Baggy' Bagley,2007
Only God Forgives,Billy,2013
Roar,Mick,2009
Cleanskin,Mark,2012
The Burl,Connor,2003
The Libertine,Vaughan,2005
Dragonheart: A New Beginning,Roland,2000
The Kid,Mr. Hayes,2010
Squaddie,Andy,2004
The Hooligan Factory,Bullet,2014
The Collectors,Edgar,2007
Death in Charge,Uncle Sean,2009
Supermarket Sam,Sam,2007
Third Star,Davy,2010
The Invisible Woman,Mr. George Wharton Robinson,2013
