Notes,Title,Role,Year
-,Where It's At,Willie,1969
-,Beach Blanket Bingo,Big Drop,1965
-,"Run Silent, Run Deep",Quartermaster 1st Class Ruby,1958
Voice,Toy Story 3,Mr. Potato Head,2010
-,Bikini Beach,Big Drag,1964
Voice,Toy Story 2,Mr. Potato Head,1999
Voice,Toy Story,Mr. Potato Head,1995
Uncredited cameo,The Love Machine,Announcer,1971
Voice,Zookeeper,Jim the Bullfrog,2011
Voice; Posthumous release,Toy Story 4,Mr. Potato Head,2019
-,Casino,Billy Sherbert,1995
-,The Money Jungle,Harry Darkwater,1967
-,The Rabbit Trap,Mike O'Halloran,1959
-,Keaton's Cop,Jake,1990
Voice Short film,Small Fry,Mr. Potato Head,2011
Voice Short film,Hawaiian Vacation,Mr. Potato Head,2011
-,X: The Man with the X-ray Eyes,Crane,1963
Voice Short film,Redux Riding Hood,The Boss,1997
Direct-to-DVD,Dennis the Menace Strikes Again,George Wilson,1998
-,Enter Laughing,Harry Hamburger,1967
-,Pajama Party,Big Bang The Martian,1964
Voice Short film,Partysaurus Rex,Mr. Potato Head,2012
-,Muscle Beach Party,Jack Fanny,1964
-,The Rat Race,Nellie,1960
-,Dirty Work,Mr. Hamilton,1998
-,The J-K Conspiracy,Himself,2004
-,Kelly's Heroes,"Staff Sergeant ""Crapgame""",1970
Voice,Quest for Camelot,Cornwall,1998
-,Innocent Blood,"Emmanuel ""Manny"" Bergman",1992
