BMX,BMX,Time Trial,Time Trial,Team,Cross Country,Cross Country
10,8,24,30,Netherlands (NED) Maartje Hereijgers Thijs Zuurbier Friso Roscam Abbing Ijpeij Twan van Gendt,40,39
72,40,30,39,Slovenia (SLO) Nika Kozar Urban Ferencak Doron Hekic Rok Korosec,35,40
72,18,14,40,Belgium (BEL) Tori van de Perre Laurens Sweeck Boris Vallee Mattias Somers,17,40
72,40,22,40,Poland (POL) Monika Zur Bartlomiej Wawak Marek Kulas Michal Czerkies,25,18
72,40,30,40,Eritrea (ERI) Senait Araya Debesay Samuel Akelom Gebremedhin Haben Ghebretinsae Yonas Kidane Merese,72,55
30,30,28,40,Japan (JPN) Manami Iwade Idomu Yamamoto Koji Nagase Yoshitaku Nagasako,72,32
50,40,30,5,Czech Republic (CZE) Karolina Kalasova Daniel Vesely Matej Lasak Jakub Hladik,50,1
68,40,30,40,Bolivia (BOL) Jimena Montecinos Carlos Montellano Samuel Melgar Sebastian Vargas,72,40
72,36,30,40,Thailand (THA) Siriluck Christoforou Satjakul Sianglam Sarawut Sirironnachai Jukrapech Wichana,72,24
54,5,4,38,Australia (AUS) Kirsten Dellar Michael Baker Jay McCarthy Matthew Dunsworth,72,40
35,40,30,27,Latvia (LAT) Lija Laizāne Andris Vosekalns Aleksandrs Kurbatskis Kristers Taims,72,34
72,40,18,34,Belarus (BLR) Volha Masiukovich Mikita Zharoven Kanstantsin Khviyuzan Pavel Rahel,72,40
64,27,27,15,Chile (CHI) Laura Minizaga Holloway Nicolas Prudencio Flano Edison Bravo Mansilla Ignacio Cruz Ormeno,58,15
1,40,12,40,Colombia (COL) Jessica Lergada Jhonnatan Botero Brayan Ramirez David Oquendo,1,40
72,40,30,8,Mexico (MEX) Ingrid Drexel Carlos Moran Ulises Alfredo Castillo Christopher Mireles,30,21
45,24,30,1,Switzerland (SUI) Linda Indergand Michael Stuenzi Marc Schaerli Romain Tanniger,61,5
72,12,30,40,South Africa (RSA) Teagan O'Keeffe Luke Roberts Jayde Julius Lunga Mkhize,72,40
72,40,30,18,Cyprus (CYP) Antri Christoforou Leontios Katsouris Eirinaios Koutsiou Mamas Kyriacou,72,27
40,1,30,40,Brazil (BRA) Mayara Perez William Alexi Guilherme Pineyrua Leandro Miranda,70,40
17,15,7,40,Denmark (DEN) Mette Jepsen Magnus Nielsen Michael Andersen Niklas Laustsen Laustsen,45,40
72,21,30,32,Indonesia (INA) Elga Kharisma Novanda Destian Satria Ongky Setiawan Suherman Heryadi,72,36
25,40,26,37,Argentina (ARG) Verena Brunner Kevin Ingratta Facundo Lezica Lucas Bustos,72,50
72,40,1,40,Portugal (POR) Magda Soraia Fernandes Martins Joao Tago Cancela Leal Rafael Ferreira Reis Rodrigo Jose Jeronimo Gomes,72,30
72,40,10,24,Kazakhstan (KAZ) Rimma Luchshenko Vadim Galeyev Alexy Lutsenko Nurlan Duisenov,68,38
72,40,30,40,Zimbabwe (ZIM) Shaylene Brown Nyasha Lungu Tyron Mackie Jonathan Lawrence Thackray,72,40
72,38,30,40,Hungary (HUN) Zsofia Keri Peter Fenyvesi Ferenc Stuban Patrik Szoboszlai,66,40
70,40,29,36,Spain (ESP) Bianca Martin Antonio Santos Alvaro Trueba Ruben Crespo,54,40
58,32,25,12,New Zealand (NZL) Sarah Kate McDonald Sam Shaw Denay Cottam Trent Woodcock,72,37
66,37,20,40,Canada (CAN) Kristina Laforge Steven Noble Ryan Macdonald Steven Creighton,64,8
Boys,Girls,Boys,Girls,Team,Boys,Girls
72,40,30,40,Serbia (SRB) Jovana Crnogorac Lazar Jovanovic Filip Pavlovic Aleksa Velickovic,72,40
61,39,16,21,Italy (ITA) Alessia Bulleri Andrea Righettini Nicolas Marini Mattia Furlan,10,12
72,34,30,40,Singapore (SIN) Nur Nasthasia Abdul Nazzeer Jun Jie Daniel Koh Travis Joshua Woodford Alvin Hui Zhi Phoon,72,40
