Timeline,Dynasty,Reign,King,Notes
-,Danish kingdom of East Anglia,902.,Æthelwold,Sub-king of the Danes; killed in battle December 902.
-,East Anglian dynasty,Unknown.,Æthelred I,Possibly succeeded Beonna; sub-king named as the father of Æthelberht II.
-,East Anglian Dynasty,855 to 869.,Edmund (Eadmund),The last native East Anglian king; acceded at the age of 14 (according to Asser); killed by the Vikings 20 November 869; canonised.
-,Mercian dynasty,-,Offa,Ruled Mercia from 757 to July 796; jointly ruled with his son Ecgfrith from 787 (who succeeded him and died after ruling for less than five months).
-,Wuffingas,Acceded c. 630 (ruled jointly with Sigeberht until c. 634).,Ecgric,"Slain in battle, possibly as late as 641; kinsman of Sigeberht."
-,Wuffingas,early 640s to c. 653.,Anna,"Nephew of Rædwald and son of Eni; killed, according to the Anglo-Saxon Chronicle."
-,Danish kingdom of East Anglia,902 to 918.,Guthrum II,Killed in battle 918.
-,Kings under Norse suzerainty,c.875.,Oswald,"Sub-king, known only from numismatic evidence."
-,Wuffingas,663 to 713.,Ealdwulf,"Nephew of Anna, Æthelhere and Æthelwold."
-,-,-,-,-
-,Wuffingas,"Acceded around 616, died before 627.",Rædwald,"Son of Tytila; named imperium by Bede, later interpreted as Bretwalda. The Flores Historiarum gives 599 for Rædwald's accession."
-,East Anglian dynasty,?779 to 794.,Æthelberht II,Accession date is from a late mediaeval source; East Anglian independence indicated by ability of Æthelberht to mint his own coins.
-,Wuffingas,Died 627 or 628.,Eorpwald,Son of Rædwald; murdered by Ricberht.
-,Wuffingas,713 to 749.,Ælfwald,Son of Ealdwulf.
-,Wuffingas,655 to 663.,Æthelwold,Brother of Anna.
-,East Anglian Dynasty,c.845 to 855.,Æthelweard,-
-,Wuffingas,d. 571,Wehha,"Possible ruler; ""The first to rule over the East Angles"", according to Nennius."
-,Wuffingas,571-578 (from unknown annal).,Wuffa,Possible ruler; son of Wehha and the king after whom the Wuffingas dynasty is named.
-,Kings under Norse suzerainty,c.875.,Æthelred II,"Sub-king, known only from numismatic evidence."
