Title,B-side
"""It Never Rains in Southern California""","""Anyone Here in the Audience"""
"""I Don't Wanna Die In an Air Disaster""","""Candle Light, Sweet Candle Light"""
"""The Free Electric Band""","""You Taught Me to Sing the Blues"" (non-LP)"
"""Your World and My World""","""I'm a Camera"""
Title,B-side
"""When I'm Gone""","""World of Love"""
"""Half a Million Miles from Home""","""I Think I'll Go That Way"""
"""The Peacemaker""","""Who's For Lunch Today"""
"""I'm a Train""","""Brand New Day"""
"""If You Gotta Break Another Heart (original version)""","""From Great Britain To L.A."""
"""Somewhere In America""","""Before You Change the World"""
"""Down by the River""","""The Last One To Know"" (non-LP)"
"""Memories""","""I Want You Back Here With Me"""
"""99 Miles from L.A.""","""Rivers Are For Boats"" (US)"
