FA Cup,FA Cup,League,League,League,Other,Other,Total,Total,Season,Club
1,0,Second Division,24,3,4,0,29,3,1997–98,Blackpool
1,0,Second Division,32,2,5,0,38,2,1996–97,Blackpool
2,0,Total,59,11,6,0,67,11,Total,Doncaster Rovers
3,0,Third Division,37,3,5,0,45,3,1999–2000,Hull City
0,0,Third Division,21,4,2,0,23,4,1998–99,Hull City
0,0,Fourth Division,1,0,0,0,1,0,1990–91,Stockport County
0,0,Conference,16,3,1,0,17,3,2001–02,Chester City
0,0,Second Division,4,0,1,0,5,0,1996–97,Lincoln City (loan)
–,–,Welsh Premier League,30,6,–,–,30,6,2002–03,Total Network Solutions
0,0,Conference,1,0,0,0,1,0,2001–02,Boston United
0,0,Conference National,14,0,0,0,14,0,2005–06,Southport
2,0,Third Division,37,2,4,0,43,2,2000–01,Hull City
0,0,Welsh Premier League,2,0,0,0,2,0,2007–08,The New Saints
0,0,Northern Premier League Premier Division,12,3,0,0,12,3,2006–07,Burscough
5,0,Total,95,9,11,0,111,9,Total,Hull City
0,0,Third Division,5,0,0,0,5,0,1995–96,Bury
0,0,Second Division,7,0,3,0,10,0,1998–99,Blackpool
0,0,Total,2,0,2,0,4,0,Total,Stockport County
1,0,Third Division,31,3,2,0,34,3,1995–96,Doncaster Rovers
2,0,Total,63,5,12,0,77,5,Total,Blackpool
10,0,Career total,331,39,33,0,375,39,Career total,Career total
1,0,Third Division,6,0,0,0,7,0,2001–02,Torquay United
0,0,Conference National,4,1,0,0,4,1,2005–06,Halifax Town
Apps,Goals,Division,Apps,Goals,Apps,Goals,Apps,Goals,Season,Club
1,0,Third Division,28,8,4,0,33,8,1994–95,Doncaster Rovers
0,0,Total,48,7,0,0,48,7,Total,Total Network Solutions
–,–,Welsh Premier League,18,1,–,–,18,1,2003–04,Total Network Solutions
0,0,Fourth Division,1,0,2,0,3,0,1989–90,Stockport County
