Party,Votes,%,Seats,+/–
Democratic Party,"253,072",54.1,166,+159
Bulgarian Agrarian National Union,"68,308",14.6,19,+19
People's Party,"46,388",9.9,7,–127
Progressive Liberal Party,"29,881",6.4,3,–3
Liberal Party,"23,304",5.0,5,–4
People's Liberal Party,"20,463",4.4,1,–7
Radical Democratic Party,"8,041",1.7,0,New
Bulgarian Social Democratic Workers Party (Broad Socialists),"6,114",1.3,0,New
Young Liberals Party,"5,138",1.1,0,New
Bulgarian Social Democratic Workers Party (Narrow Socialists),"1,505",0.3,0,New
Other parties,-,-,2,0
Independents,"5,213",1.1,0,–2
Invalid/blank votes,0,–,–,–
Total,"467,607",100,203,+34
Source: Nohlen & Stöver,Source: Nohlen & Stöver,Source: Nohlen & Stöver,Source: Nohlen & Stöver,Source: Nohlen & Stöver
