Title,Original artist,Year,Songwriter(s),Notes
"""Run Joey Run""",David Geddes,1975,Paul Vance & Jack Perricone,"US Billboard #4, Cash Box #1; Canada #12"
"""Last Kiss""",Wayne Cochran & the C.C. Riders,1962,Wayne Cochran,Cover by J. Frank Wilson and the Cavaliers was a 1964 U.S.
"""Nightmare""",Lori Burton/ The Whyte Boots,1966,"Pam Sawyer, Lori Burton","""The Whyte Boots"" were a fabricated girl group; Burton sang lead and the track is on her 1967 LP Breakout"
"""B.J. the D.J.""",Stonewall Jackson,1963,Hugh X. Lewis,U.S. Country #1
"""The Water Was Red""",Johnny Cymbal,1961,Stanley Wagner,-
"""The Prom""",Del Shannon,1961,Del Shannon,-
"""Terry""",Twinkle,1964,Lynn Ripley (Twinkle),UK #4
"""The Hero""",Bernadette Carroll,1964,"B. Nosal, P. Maheu","a regional airplay hit in North Carolina (#1), Florida, West Virginia and elsewhere"
"""Patches""",Dickey Lee,1962,"Barry Mann, Larry Kolber",U.S. #6
"""Black Denim Trousers and Motorcycle Boots""",The Cheers,1955,"Jerry Leiber, Mike Stoller","U.S. #6. Protagonist disappears, presumed dead but never found."
"""Tell Laura I Love Her""",Ray Peterson,1960,"Jeff Barry, Ben Raleigh","U.S. #7, cover by Ricky Valance was #1 in the UK. Protagonist dies in an automobile racing accident."
"""A Young Man Is Gone""",The Beach Boys,1963,"Bobby Troup, Mike Love",-
"""Ebony Eyes""",The Everly Brothers,1961,John D. Loudermilk,"U.S. #8, UK #1, Can. #2"
"""Echo""",The Emotions,1962,"The Emotions, Henry Boye",-
"""Call Me Lonesome""",Arthur Alexander,1962,Arthur Alexander,"Unreleased until 1987; early version of ""Lonely Just Like Me"""
"""I Can Never Go Home Anymore""",The Shangri-Las,1965,"George ""Shadow"" Morton","U.S. #6, Can. #2"
"""Endless Sleep""",Jody Reynolds,1958,"Jody Reynolds, Dolores Nance","U.S. #5, precursor of the genre."
"""Running Bear""",Johnny Preston,1959,J. P. Richardson (The Big Bopper),U.S. #1
"""Emma""",Hot Chocolate,1974,"Errol Brown, Tony Wilson","U.S. #8, U.K. #3"
"""Teen Angel""",Mark Dinning,1959,"Jean Dinning, Red Surrey",U.S. #1
