Club,Season,Division,League,League,FA Cup,FA Cup,Total,Total
Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals
Burnley,1929–30,First Division,32,15,1,0,33,15
Northampton Town,Total,Total,122,24,7,2,129,26
Stoke,1919–20,Second Division,12,1,0,0,12,1
Burnley,1931–32,Second Division,30,5,1,0,31,5
Northampton Town,1922–23,Third Division South,39,5,1,0,40,5
Port Vale,1932–33,Second Division,18,2,1,0,19,2
Burnley,1927–28,First Division,41,22,1,0,42,22
Stoke,1921–22,Second Division,1,0,0,0,1,0
Stoke,Total,Total,21,1,0,0,21,1
Manchester United,1931–32,Second Division,9,0,0,0,9,0
Burnley,1928–29,First Division,39,17,3,2,42,19
Manchester United,1932–33,Second Division,3,0,0,0,3,0
