Age,Owner,Time,Year,Jockey
6,Bart Evans,1:34.06,2011,Julien Leparoux
4,Bart B. Evans,1:32.81,2009,Eguard Tejera
5,Jim Ford Inc./John Cuchna,1:39.53,2005,Jerry Bailey
5,Turf Express Inc.,1:43.02,2003,Gerard Melancon
5,Tom Ball,1:46.68,1997,Corey Lanerie
4,Jack Garey,1:37.75,1999,Casey Lambert
4,Martin S. Schwartz,1:38.32,2007,Garrett Gomez
6,George O. Kleier,1:42.23,2001,Cliff Berry
4,Royce Roberts,1:46.53,1998,E.J. Perrodin
6,E A Ranches,1:38.96,2002,David Flores
4,"Bates, Hendricks, et al.",1:37.28,2000,Victor Espinoza
4,Courtlandt Farms,1:38.66,2006,Ramon Dominguez
5,Bart B. Evans,1:33.25,2010,Cliff Berry
5,Pin Oak Stable,1:35.82,2008,Luis Quinonez
5,Cash Asmussen,1:35.98,2004,Shane Sellers
