Club,Season,Division,League,League,FA Cup,FA Cup,Other,Other,Total,Total
Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
Norwich City,1947–48,Third Division South,36,1,3,2,0,0,39,3
Norwich City,1948–49,Third Division South,22,11,2,1,0,0,24,12
Norwich City,1949–50,Third Division South,37,14,5,3,0,0,42,17
Norwich City,1950–51,Third Division South,46,13,5,1,0,0,51,14
Norwich City,1951–52,Third Division South,44,11,3,1,0,0,47,12
Norwich City,1952–53,Third Division South,38,7,2,0,0,0,40,7
Norwich City,Total,Total,223,57,20,8,0,0,243,65
Birmingham City,1953–54,Second Division,37,10,2,0,0,0,39,10
Birmingham City,1954–55,Second Division,35,13,4,1,0,0,39,14
Birmingham City,1955–56,First Division,34,14,6,3,0,0,40,17
Birmingham City,1956–57,First Division,28,6,7,3,3,0,38,9
Birmingham City,1957–58,First Division,15,5,1,0,1,0,17,5
Birmingham City,Total,Total,149,48,20,7,4,0,173,55
Port Vale,1957–58,Third Division,14,2,0,0,0,0,14,2
Port Vale,1958–59,Fourth Division,36,3,1,0,0,0,37,3
Port Vale,1959–60,Third Division,19,1,1,0,0,0,20,1
Port Vale,1960–61,Third Division,3,0,0,0,3,1,6,1
Port Vale,Total,Total,72,6,2,0,3,1,77,7
Career total,Career total,Career total,444,111,42,15,7,1,493,127
