Title,Year,Artist(s),Album,Credits,Written with,Produced with
"""Push the Feeling On (The Dub of Doom)""",1992,Nightcrawlers,Non-album single,Producer,-,Phil Legg
"""Anywhere""",1996,Proof,Anywhere EP,Producer,-,-
"""Lois Lane""",1996,Proof,Anywhere EP,Producer,-,-
"""Why?""",1996,Proof,Anywhere EP,Producer,-,-
"""Come and Get Some"" (featuring E-40)",1997,SWV,Release Some Tension,Co-writer/Producer,"Cheryl Gamble, Earl Stevens",-
"""Gettin' Funky"" (featuring Snoop Dogg)",1997,SWV,Release Some Tension,Co-writer/Producer,Calvin Broadus,Kevin Evans
"""Give Me What I Want""",1998,MC Lyte,Seven & Seven,Co-writer/Producer,"Lana Moorer, Jamaal Barrow",-
"""Another Way""",1998,Tevin Campbell,Tevin Campbell,Co-writer,"Tevin Campbell, Theodore Turpin, Terrell Carter",-
"""Only One for Me""",1999,Tevin Campbell,Tevin Campbell,Co-writer/Producer,"Tevin Campbell, Faith Evans, Mike Mason",-
"""7 Interlude""",1999,702,702,Co-writer/Producer,Irish Grinstead,-
"""0 Interlude""",1999,702,702,Co-writer/Producer,Misha Grinstead,-
"""2 Interlude""",1999,702,702,Co-writer/Producer,Kameelah Williams,-
"""Will You Be OK""",1999,702,702,Co-writer/Producer,"Angela Slates, Trina Powell, Tamara Powell",-
"""Monica""",2000,Before Dark,Daydreamin',Co-writer/Producer,"Cynthia Loving, Carlos McKinney, Jarret Washington",-
"""Upgrade U"" (featuring Jay-Z)",2006,Beyoncé,B'Day,Co-writer,"Beyonce Knowles-Carter, Solange Knowles, Makeba Riddick, Sean Garrett, Angela Beyincé, Sean Carter, William Clarke, Clarence Reid",-
"""Mujeres""",2010,Pitbull,Armando,Producer,-,-
"""Guantanamera (She's Hot)""",2010,Pitbull,Armando,Producer,-,DJ Buddha
"""Amorosa"" (featuring Papayo & MC Marcinho)",2010,Pitbull,Armando,Producer,-,DJ Laz
"""Where Do We Go"" (featuring Jamie Foxx)",2011,Pitbull,Planet Pit,Co-writer/Producer,"Armando Perez, James Scheiffer, Daniel Morris, Leroy Sanchez, Eric Bishop","Jim Jonsin, Mr. Morris"
"""Back in Time""",2012,Pitbull,Global Warming,Co-writer/Producer,"Armando Perez, Urales Vargas, Adrian Trejo, Mickey Baker, Sylvia Robinson, Ellas McDaniel","DJ Big Symphe, DJ Buddha"
"""Get It Started"" (featuring Shakira)",2012,Pitbull,Global Warming,Co-writer/Producer,"Armando Perez, Durrell Babbs, Urales Vargas, Sidney Samson, Bigram Zayas, Shakira Ripoll, Kristina Stephens","Sidney Samson, DVLP, DJ Buddha"
"""Down"" (featuring OmARR & T. Coles)",2012,Jaden Smith,The Cool Café: The Cool Tape Vol. I,Producer,-,OmARR
"""Jus' Not Ready"" (featuring T. Coles)",2012,Jaden Smith,The Cool Café: The Cool Tape Vol. I,Producer,-,OmARR
"""First Time"" (featuring T. Coles)",2012,Jaden Smith,The Cool Café: The Cool Tape Vol. I,Producer,-,OmARR
"""Detroit""",2013,Hot Natured,Different Sides of the Sun,Co-writer/Producer,"Lee Foss, Jamie Jones, Alexander Williams","Hot Natured, Mark Ralph"
"""My Loving""",2014,Mary J. Blige,The London Sessions,Co-producer,-,Darkchild
"""Nothing"" (featuring 2Hype)",2016,Big Flock,The Great Depression,Producer,-,-
