Album,Collaborator(s)
People and Things,Jack's Mannequin
This Too Shall Pass,The Fold
Dance or Die with a Vengeance,Family Force 5
The Wedding,The Wedding
-,Switchfoot
Forgive Us If We Make You Smile - EP,The Media Says
Teenage Dream: The Complete Confection,Katy Perry
All Things Bright and Beautiful,Owl City
Tonight,TobyMac
Ocean Eyes,Owl City
The Most Beautiful,Rookie of the Year
The Boy Vs. the Cynic,John Reuben
"More Like a Movie, Less Like Real Life",Ellington
The Midsummer Station,Owl City
Sweet Attention,Rookie of the Year
Patterns,Run Kid Run
Wreck-It Ralph,Owl City
Anthems for the Imperfect,Everyday Sunday
Mobile Orchestra,Owl City
Birds & Cages,Deas Vail
Bittersweet Symphony - Single,Ace Enders and a Million Different People
All I Ever Wanted,"Kelly Clarkson, (with Katy Perry and Glen Ballard)"
