Album,Song(s),Contribution
People and Things,"""Platform Fire"", ""Amy, I"", ""People, Running""",songwriting
This Too Shall Pass,"""I Believe You""",backing vocals
Dance or Die with a Vengeance,"""The First Time""","remixing, vocals"
The Wedding,"""But a Breath""",backing vocals
-,"""Rebuild""","songwriting, vocals"
Forgive Us If We Make You Smile - EP,"""Summer Lovin'"", ""Keep Falling Down""",piano
Teenage Dream: The Complete Confection,"""Dressin' Up""",songwriting
All Things Bright and Beautiful,"""Plant Life""","songwriting, vocals"
Tonight,"""Wonderin""",vocals
Ocean Eyes,"""Cave In"", ""Fireflies"", ""Tidal Wave"", ""The Bird and the Worm""","songwriting, production, vocals"
The Most Beautiful,"""Bizarre Love Triangle""",piano
The Boy Vs. the Cynic,"""Nuisance""",vocals
"More Like a Movie, Less Like Real Life",all tracks,piano
The Midsummer Station,"""Shooting Star"", ""I'm Coming After You"", ""Speed of Love"", ""Good Time"", ""Metropolis"", ""Bombshell Blonde""","songwriting, production, vocals"
Sweet Attention,"""Danger Zone""",vocals
"More Like a Movie, Less Like Real Life","""In A Lonely Place""",vocals
Patterns,"""Sunburns""",vocals
Wreck-It Ralph,"""When Can I See You Again?""","songwriting, production"
Sweet Attention,all tracks,piano
Anthems for the Imperfect,"""The One""",backing vocals
Mobile Orchestra,"""Verge""","songwriting, vocals"
Birds & Cages,"""Birds""",vocals
Bittersweet Symphony - Single,"""Bittersweet Symphony""",vocals
All I Ever Wanted,"""Long Shot""",songwriting
Mobile Orchestra,"""Unbelievable"", ""Back Home""",songwriting
