Club,Season,Division,League,League,FA Cup,FA Cup,Total,Total
Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals
Burslem Port Vale,1906–07,Second Division,30,0,4,0,34,0
Stoke,1907–08,Second Division,1,0,0,0,1,0
Stoke,1908–09,Birmingham & District League,32,1,1,0,33,1
Stoke,1909–10,Birmingham & District League / Southern League Division Two,42,2,6,0,48,2
Stoke,1910–11,Birmingham & District League / Southern League Division Two,53,3,3,0,56,3
Stoke,1911–12,Southern League Division One,20,2,0,0,20,2
Stoke,1912–13,Southern League Division One,29,1,2,0,31,1
Stoke,1913–14,Southern League Division Two,7,0,1,0,8,0
Stoke,1914–15,Southern League Division Two,1,0,1,0,2,0
Stoke,Total,Total,185,9,14,0,199,9
Career Total,Career Total,Career Total,215,9,18,0,233,9
