Club,Season,Division,League,League,FA Cup,FA Cup,Other,Other,Total,Total
Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
Portland Timbers (loan),1975,NASL,20,1,–,–,–,–,20,1
Port Vale,1967–68,Fourth Division,13,1,0,0,0,0,13,1
Port Vale,1968–69,Fourth Division,18,2,0,0,1,0,19,2
Port Vale,1969–70,Fourth Division,35,4,5,1,1,0,41,5
Port Vale,1970–71,Third Division,36,6,1,0,1,0,38,6
Port Vale,1971–72,Third Division,45,6,4,0,1,0,50,6
Port Vale,1972–73,Third Division,41,3,2,0,2,0,45,3
Port Vale,1973–74,Third Division,42,4,4,0,1,0,47,4
Port Vale,1974–75,Third Division,39,1,2,0,1,0,42,1
Port Vale,1975–76,Third Division,31,1,3,0,1,0,35,1
Port Vale,1976–77,Third Division,33,0,4,0,2,0,39,0
Port Vale,Total,Total,333,28,25,1,11,0,369,29
